,player,team,age,pts_per_poss,fgm,fga,fgpct,three_pm,three_pa,three_ppct,ftm,fta,ftpct,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,ddtwo_,tdthree_,plus_minus,fgm_less_than_5ft,fga_less_than_5ft,fgpct_less_than_5ft,fgm_5minus9_ft,fga_5minus9_ft,fgpct_5minus9_ft,fgm_10minus14_ft,fga_10minus14_ft,fgpct_10minus14_ft,fgm_15minus19_ft,fga_15minus19_ft,fgpct_15minus19_ft,fgm_two_0minustwo_4_ft,fga_two_0minustwo_4_ft,fgpct_two_0minustwo_4_ft,fgm_two_5minustwo_9_ft,fga_two_5minustwo_9_ft,fgpct_two_5minustwo_9_ft,pts,touches,front_ct_touches,time_of_poss,avg_sec_per_touch,avg_drib_per_touch,pts_per_touch,elbow_touches,post_ups,paint_touches,pts_per_elbow_touch,pts_per_post_touch,pts_per_paint_touch
10,damian lillard,POR,32,0.426,0.127,0.274,46.3,0.056,0.15,37.1,0.116,0.127,91.4,0.01,0.053,0.063,0.097,0.044,0.011,0.004,0.025,0.65,16,2,0.024,3.7,6.0,61.7,0.6,1.2,47.8,0.5,1.0,53.6,0.5,0.8,56.3,0.7,1.8,37.3,3.1,8.0,38.1,32.2,88.1,37.4,7.6,5.16,4.57,0.365,0.4,0.1,0.6,0.625,1.0,0.556
11,jaylen brown,BOS,26,0.355,0.135,0.274,49.3,0.033,0.097,33.9,0.053,0.069,76.9,0.016,0.075,0.091,0.046,0.039,0.015,0.005,0.035,0.555,12,0,0.051,4.9,7.1,68.5,0.8,2.1,38.7,0.9,1.7,56.4,0.9,2.1,42.3,0.7,1.9,37.1,1.9,5.6,33.6,26.7,63.8,34.8,3.7,3.48,2.78,0.418,1.5,0.7,2.4,0.725,0.689,0.897
12,brandon ingram,NOP,25,0.356,0.13,0.269,48.5,0.022,0.054,40.1,0.074,0.084,88.2,0.006,0.07,0.076,0.081,0.045,0.009,0.006,0.037,0.567,4,2,0.031,2.5,3.8,65.6,1.1,2.4,45.5,2.0,4.2,48.0,1.6,3.7,44.1,0.6,1.4,43.9,1.1,3.0,38.2,24.5,65.3,38.1,4.4,4.07,3.1,0.376,2.1,1.6,0.9,0.741,0.797,0.778
13,shai gilgeous alexander,OKC,24,0.412,0.136,0.266,51.0,0.011,0.031,34.6,0.129,0.142,90.8,0.011,0.052,0.063,0.071,0.037,0.022,0.013,0.036,0.66,3,0,0.03,5.0,8.3,60.0,1.4,3.2,44.7,2.3,4.3,54.2,0.8,2.0,38.8,0.2,0.8,27.3,0.7,1.7,38.1,31.4,72.9,25.3,6.7,5.55,5.12,0.431,0.8,1.7,1.5,1.135,0.741,0.969
14,stephen curry,GSW,35,0.389,0.132,0.265,49.8,0.065,0.15,43.2,0.06,0.066,91.2,0.009,0.072,0.081,0.083,0.043,0.012,0.004,0.028,0.618,12,1,0.05,2.8,4.1,69.3,0.9,1.9,48.5,0.6,1.1,54.5,0.6,1.3,47.1,1.1,2.3,48.7,3.8,8.5,44.0,29.9,79.7,31.5,5.8,4.39,4.18,0.376,0.8,0.0,1.5,1.0,0.0,0.986
15,cade cunningham,DET,21,0.281,0.109,0.264,41.5,0.02,0.072,27.9,0.042,0.051,83.7,0.014,0.073,0.087,0.085,0.046,0.012,0.008,0.04,0.527,3,0,-0.071,2.5,4.7,53.6,1.2,2.9,40.0,1.0,2.4,41.4,1.4,3.1,45.9,0.7,1.6,42.1,1.0,3.8,26.7,19.9,78.3,24.8,7.0,5.37,4.99,0.255,0.3,0.4,0.9,1.0,0.6,0.909
16,lamelo ball,CHA,21,0.305,0.108,0.262,41.1,0.052,0.139,37.6,0.037,0.044,84.3,0.015,0.069,0.084,0.111,0.047,0.017,0.004,0.043,0.587,17,3,-0.055,2.4,4.7,51.2,0.6,1.9,33.3,0.6,1.4,42.3,0.4,1.1,37.5,0.8,2.0,42.3,2.7,7.4,37.0,23.3,90.2,29.9,7.4,4.9,4.79,0.258,0.4,0.0,1.4,0.2,0.0,0.725
17,kyrie irving,DAL,31,0.353,0.129,0.262,49.3,0.04,0.108,37.4,0.055,0.06,90.4,0.013,0.053,0.067,0.072,0.028,0.014,0.01,0.036,0.585,5,0,0.047,2.9,4.5,65.5,1.3,2.4,53.2,1.5,2.7,55.1,0.7,1.6,45.8,1.0,2.5,41.8,2.4,6.0,39.0,26.7,75.6,32.7,5.7,4.49,3.78,0.354,1.2,0.3,1.6,0.778,0.556,0.904
18,bones hyland,LAC,22,0.296,0.102,0.257,39.9,0.053,0.141,37.6,0.038,0.046,84.4,0.009,0.049,0.058,0.077,0.037,0.018,0.007,0.043,0.518,1,0,-0.07,1.2,2.4,51.2,0.3,1.0,30.9,0.2,0.7,28.9,0.2,0.5,41.7,0.5,1.2,45.3,1.5,4.1,36.5,11.8,45.8,19.6,3.6,4.75,4.08,0.258,0.2,0.0,0.4,0.727,0.0,0.7
19,bradley beal,WAS,29,0.339,0.13,0.257,50.6,0.023,0.064,36.5,0.056,0.067,84.2,0.012,0.045,0.057,0.079,0.042,0.013,0.01,0.031,0.553,2,0,0.012,3.6,5.4,67.3,1.2,2.6,45.7,1.0,2.2,43.8,1.4,2.6,54.2,0.6,1.7,34.5,1.1,3.0,36.2,23.2,67.9,39.2,5.1,4.52,4.07,0.342,1.9,0.6,1.6,0.638,0.438,0.938
20,julius randle,NYK,28,0.347,0.118,0.256,45.9,0.039,0.114,34.3,0.072,0.095,75.7,0.025,0.112,0.137,0.057,0.039,0.009,0.004,0.042,0.595,40,0,0.03,3.2,4.9,65.8,1.0,1.9,50.3,0.8,1.9,44.2,0.5,1.3,42.9,1.1,3.0,35.2,1.9,5.5,34.4,25.1,69.4,43.5,3.5,3.0,1.91,0.362,2.1,3.6,3.1,0.695,0.581,1.021
21,trae young,ATL,24,0.348,0.11,0.255,42.9,0.028,0.084,33.8,0.101,0.113,88.6,0.01,0.029,0.04,0.132,0.054,0.014,0.002,0.019,0.587,38,0,0.014,2.4,4.7,51.1,1.3,3.1,42.0,1.4,2.6,53.8,0.7,1.5,43.6,0.6,1.9,34.3,1.5,4.3,34.6,26.3,79.6,24.5,7.9,5.93,5.65,0.33,0.4,0.0,0.7,0.462,0.0,0.771
22,kenneth lofton jr,MEM,20,0.3,0.123,0.255,48.2,0.023,0.055,41.7,0.032,0.059,53.8,0.045,0.091,0.136,0.077,0.036,0.014,0.009,0.091,0.611,0,0,-0.159,1.1,1.4,74.1,0.0,0.1,0.0,0.1,0.4,33.3,0.0,0.6,0.0,0.1,0.2,66.7,0.2,0.5,30.0,3.5,9.2,6.6,0.3,2.22,1.14,0.379,1.0,0.4,1.0,0.421,0.0,1.263
23,anthony edwards,MIN,21,0.32,0.117,0.254,46.0,0.035,0.095,36.8,0.052,0.068,75.9,0.007,0.068,0.075,0.058,0.043,0.02,0.009,0.031,0.543,8,0,0.013,4.4,7.2,61.2,0.6,1.5,39.1,0.4,1.2,33.7,0.6,1.4,40.9,1.1,3.1,36.7,1.8,4.8,37.0,24.4,71.2,36.7,4.7,3.99,3.45,0.342,0.5,0.6,0.9,0.846,0.659,0.939
24,keldon johnson,SAS,23,0.316,0.115,0.253,45.3,0.031,0.093,33.3,0.056,0.075,74.7,0.013,0.06,0.073,0.042,0.031,0.01,0.003,0.029,0.474,5,0,-0.114,4.1,6.7,60.7,1.2,2.7,43.2,0.4,1.3,32.1,0.1,0.3,31.6,0.9,2.3,40.0,1.3,4.1,31.0,22.0,57.7,33.9,2.8,2.96,2.08,0.382,0.9,0.8,1.5,0.818,0.49,0.989
25,paul george,LAC,32,0.335,0.115,0.253,45.7,0.04,0.107,37.1,0.064,0.074,87.1,0.011,0.075,0.086,0.072,0.044,0.021,0.005,0.04,0.58,8,1,0.039,2.6,4.0,66.7,0.6,1.2,49.2,0.8,1.8,44.1,1.2,2.9,41.4,1.0,2.4,43.2,1.9,5.5,34.8,23.8,69.3,32.7,4.9,4.22,3.49,0.343,1.5,1.2,1.4,0.64,0.727,0.988
26,terry rozier,CHA,29,0.282,0.105,0.252,41.5,0.035,0.107,32.7,0.038,0.047,80.9,0.011,0.044,0.055,0.068,0.028,0.016,0.003,0.025,0.478,1,0,-0.061,2.8,5.0,56.1,0.9,2.4,37.0,0.7,1.7,44.8,0.6,1.3,44.0,1.1,3.7,29.9,1.7,4.6,36.6,21.1,75.2,35.9,5.8,4.6,4.15,0.281,0.5,0.0,1.0,0.625,0.0,0.492
27,klay thompson,GSW,33,0.303,0.11,0.252,43.6,0.06,0.147,40.9,0.024,0.027,87.5,0.008,0.05,0.058,0.033,0.025,0.01,0.006,0.026,0.445,2,0,0.023,1.4,2.2,65.1,0.4,1.1,40.8,0.6,1.7,35.7,0.9,2.0,44.6,1.1,3.1,37.1,3.3,7.9,42.3,21.8,47.6,37.0,1.7,2.14,1.36,0.459,1.0,0.2,1.5,0.785,0.75,0.918
28,kevin durant,PHX,34,0.399,0.141,0.251,56.4,0.026,0.065,39.4,0.09,0.097,92.8,0.005,0.086,0.091,0.069,0.045,0.01,0.02,0.03,0.656,5,1,0.072,2.0,2.5,78.1,1.6,2.6,62.4,2.7,4.6,57.9,2.0,3.4,59.2,0.6,1.5,43.3,1.4,3.7,38.9,29.2,66.5,38.6,4.1,3.68,2.6,0.439,2.5,3.1,1.3,0.866,0.625,1.255
29,deaaron fox,SAC,25,0.348,0.129,0.251,51.6,0.023,0.069,32.7,0.066,0.085,77.7,0.007,0.051,0.058,0.084,0.035,0.016,0.004,0.034,0.57,11,0,0.027,3.3,4.4,75.9,1.8,3.2,55.1,1.5,3.0,49.3,0.9,2.0,46.4,0.7,2.1,33.3,1.2,3.4,33.6,25.1,78.7,24.6,6.6,5.02,4.66,0.319,0.3,0.1,0.7,0.609,0.667,0.979
30,kelly oubre jr,CHA,27,0.297,0.108,0.25,43.1,0.033,0.104,31.9,0.048,0.064,76.0,0.02,0.056,0.076,0.016,0.02,0.021,0.005,0.043,0.472,3,0,-0.085,3.3,5.8,57.2,0.8,2.1,39.4,0.6,1.4,40.3,0.4,0.7,50.0,1.1,2.8,38.5,1.2,4.3,28.8,20.3,44.7,31.8,1.7,2.26,1.39,0.453,1.0,0.0,2.1,0.92,0.0,0.891
31,jalen green,HOU,21,0.308,0.103,0.248,41.6,0.034,0.102,33.5,0.067,0.086,78.6,0.008,0.044,0.052,0.051,0.037,0.011,0.003,0.025,0.452,0,0,-0.091,3.0,5.6,53.6,0.6,1.6,36.8,0.5,1.1,43.6,0.8,1.8,42.7,0.5,1.8,27.8,2.0,5.7,35.8,22.0,65.6,34.3,4.8,4.38,3.89,0.336,0.4,0.0,0.9,0.593,0.0,0.908
32,jordan clarkson,UTA,30,0.305,0.11,0.248,44.4,0.037,0.11,33.8,0.048,0.059,81.6,0.017,0.042,0.059,0.065,0.045,0.008,0.003,0.029,0.462,3,0,0.008,2.2,3.7,59.8,1.6,3.2,50.3,1.0,2.1,46.0,0.2,0.4,50.0,0.8,2.0,38.8,1.8,5.4,32.3,20.8,56.1,31.7,3.9,4.17,3.52,0.371,0.7,0.2,1.4,0.829,0.571,0.871
33,cj mccollum,NOP,31,0.286,0.107,0.246,43.6,0.039,0.1,39.0,0.033,0.042,78.7,0.01,0.048,0.059,0.08,0.034,0.013,0.007,0.028,0.503,5,0,0.011,1.9,3.4,54.8,1.0,2.2,43.4,1.2,2.2,52.2,0.8,2.3,34.6,0.8,2.3,36.0,2.2,5.4,40.7,20.8,74.3,32.6,5.4,4.36,3.89,0.28,0.8,0.0,0.6,0.61,0.0,0.619
34,jalen brunson,NYK,26,0.336,0.121,0.246,49.1,0.028,0.066,41.6,0.067,0.081,82.9,0.008,0.041,0.05,0.087,0.029,0.013,0.003,0.031,0.543,5,0,0.031,2.3,4.0,56.6,2.3,4.4,51.3,1.2,2.6,46.6,0.8,1.6,50.5,1.0,2.1,47.9,1.1,2.8,37.8,24.0,84.1,29.1,8.5,6.03,5.65,0.285,0.2,0.9,0.3,0.385,0.629,0.522
35,kyle kuzma,WAS,27,0.29,0.109,0.244,44.8,0.034,0.103,33.3,0.037,0.051,73.0,0.012,0.087,0.099,0.051,0.041,0.008,0.006,0.031,0.486,14,1,0.002,3.6,5.3,68.5,1.1,2.8,39.4,0.4,1.3,34.6,0.3,0.7,40.0,1.0,2.5,37.9,1.4,4.7,30.8,21.2,59.3,33.6,3.3,3.35,2.42,0.358,1.0,0.7,1.8,0.548,0.523,1.061
36,kawhi leonard,LAC,31,0.346,0.125,0.243,51.3,0.029,0.069,41.8,0.068,0.077,87.3,0.016,0.075,0.092,0.057,0.024,0.021,0.008,0.023,0.605,3,0,0.065,2.1,3.3,65.2,1.2,2.1,55.9,1.6,3.1,50.7,1.4,2.7,52.6,0.9,2.0,44.9,1.4,3.5,39.4,23.7,56.8,36.5,3.9,4.08,3.27,0.417,2.4,2.8,2.1,0.63,0.525,0.712
37,pascal siakam,TOR,29,0.316,0.116,0.242,47.7,0.018,0.054,32.7,0.067,0.088,76.8,0.024,0.077,0.101,0.078,0.032,0.011,0.007,0.042,0.575,22,2,0.026,3.6,5.3,68.0,1.6,3.8,42.6,1.2,2.5,45.7,0.9,2.1,41.7,0.6,1.8,34.1,1.0,2.9,33.3,24.1,80.8,41.5,4.9,3.65,2.84,0.298,1.8,3.1,3.4,0.617,0.612,0.92
38,anthony davis,LAL,30,0.368,0.138,0.241,57.1,0.005,0.019,26.4,0.088,0.111,78.8,0.048,0.123,0.171,0.035,0.031,0.014,0.027,0.037,0.72,36,0,0.044,6.2,8.6,72.2,1.5,3.1,50.3,0.8,2.0,43.1,0.7,1.8,39.4,0.3,0.8,38.6,0.3,1.1,26.8,26.3,68.7,38.3,2.5,2.15,0.9,0.383,5.3,5.0,10.7,0.763,0.743,1.188
39,zach lavine,CHI,28,0.334,0.117,0.24,48.8,0.036,0.094,38.4,0.064,0.075,84.9,0.008,0.053,0.06,0.056,0.034,0.012,0.003,0.028,0.502,2,0,0.007,4.0,6.1,65.8,0.4,1.1,41.8,0.4,0.9,46.2,0.8,1.9,42.7,1.2,3.0,41.0,1.8,4.9,37.3,24.9,62.3,32.8,4.4,4.22,3.48,0.4,0.6,0.2,0.9,0.714,0.462,1.242
40,lauri markkanen,UTA,25,0.354,0.12,0.239,49.9,0.042,0.107,39.2,0.073,0.084,87.5,0.027,0.092,0.119,0.026,0.027,0.009,0.008,0.029,0.559,28,0,0.034,3.9,5.7,67.8,1.0,2.3,41.9,0.4,0.8,54.7,0.2,0.5,36.7,1.3,2.6,48.9,1.9,5.2,35.5,25.7,51.5,32.2,1.9,2.17,1.08,0.499,1.9,1.4,4.4,1.13,0.606,1.211
41,jordan poole,GSW,23,0.31,0.102,0.238,43.0,0.04,0.118,33.6,0.066,0.075,87.1,0.006,0.035,0.041,0.069,0.047,0.012,0.004,0.039,0.464,1,0,-0.006,2.6,3.9,65.1,0.6,1.4,42.0,0.4,1.1,36.4,0.5,1.2,40.2,0.5,1.5,33.3,1.9,5.7,33.9,20.4,66.3,32.8,4.6,4.18,3.78,0.308,0.8,0.0,0.9,1.0,2.0,0.845
42,desmond bane,MEM,24,0.316,0.114,0.237,47.9,0.042,0.101,41.0,0.047,0.053,88.9,0.01,0.063,0.073,0.064,0.033,0.015,0.006,0.037,0.528,1,0,0.092,3.1,5.1,60.6,0.8,2.0,38.4,0.5,1.1,45.9,0.4,0.7,47.5,1.3,2.3,55.6,1.7,4.6,36.4,21.4,63.1,33.9,3.1,2.96,2.15,0.339,0.8,0.0,0.9,1.024,0.0,1.02
43,jamal murray,DEN,26,0.295,0.107,0.237,45.3,0.039,0.097,40.0,0.041,0.05,82.9,0.011,0.048,0.059,0.09,0.033,0.015,0.003,0.023,0.522,5,1,0.067,2.3,3.7,62.0,0.5,1.3,34.1,0.8,1.7,46.2,1.0,2.3,42.3,1.0,2.1,45.7,1.9,4.9,38.1,20.2,72.0,34.4,5.8,4.81,4.2,0.28,1.1,0.7,1.2,0.712,0.711,0.844
44,demar derozan,CHI,33,0.33,0.119,0.234,50.8,0.008,0.025,33.1,0.083,0.096,87.0,0.006,0.056,0.062,0.068,0.028,0.015,0.007,0.033,0.543,6,0,0.02,2.5,3.7,67.4,0.7,1.4,50.0,1.9,3.7,53.1,2.5,5.4,46.7,1.0,2.5,40.8,0.4,1.1,34.2,24.8,60.0,36.4,4.6,4.62,3.73,0.414,1.6,2.6,0.6,0.748,0.79,0.692
45,tyler herro,MIA,23,0.283,0.103,0.234,43.9,0.043,0.113,37.6,0.036,0.038,93.1,0.006,0.07,0.076,0.059,0.034,0.011,0.003,0.022,0.472,6,1,0.028,1.6,2.6,62.2,1.1,2.2,48.6,1.0,2.3,46.5,0.5,1.3,36.9,1.0,2.3,44.5,2.1,6.0,35.6,20.3,66.3,35.0,4.4,3.94,3.24,0.307,0.4,0.0,0.7,0.571,2.0,0.844
