, ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_PER_POSS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
520,521,Sterling Brown,LAL,28,4,2,2,0.4,0,0,0.068,0,0,0.034,0,0,0,0,0.051,0.085,0.136,0.034,0,0.051,0,0.068,0.366,0,0,-0.068
521,522,Noah Vonleh,BOS,27,23,17,6,0.5,0.07,0.031,0.067,45.8,0.003,0.011,25,0.006,0.006,100,0.05,0.084,0.134,0.02,0.031,0.006,0.022,0.098,0.314,0,0,-0.036
522,523,Jericho Sims,NYK,24,50,30,20,0.5,0.109,0.051,0.066,76.9,0,0.001,0,0.008,0.01,75,0.059,0.088,0.147,0.015,0.016,0.009,0.018,0.059,0.373,2,0,-0.068
523,524,Jay Huff,WAS,25,4,1,3,0.4,0.206,0.029,0.059,50,0,0.029,0,0.147,0.147,100,0,0.118,0.118,0.088,0.059,0,0,0.029,0.421,0,0,0.588
524,525,Andre Iguodala,GSW,39,8,3,5,0.4,0.066,0.027,0.058,46.7,0.004,0.035,11.1,0.008,0.012,66.7,0.012,0.054,0.066,0.074,0.035,0.016,0.012,0.043,0.303,0,0,0.136
525,526,P.J. Tucker,PHI,37,72,47,25,0.5,0.067,0.024,0.057,41.8,0.014,0.036,38.3,0.005,0.006,82.6,0.025,0.053,0.078,0.015,0.011,0.011,0.004,0.046,0.215,0,0,0.037
526,527,Braxton Key,DET,26,3,0,3,0.5,0.2,0.05,0.05,100,0,0,0,0.1,0.1,100,0,0.05,0.05,0,0,0,0,0,0.26,0,0,-0.15
527,528,Xavier Cooks,WAS,27,6,1,5,0.4,0.08,0.04,0.04,100,0,0,0,0,0,0,0.06,0.08,0.14,0.04,0.06,0,0.02,0.04,0.308,0,0,0.62
528,529,Alondes Williams,BKN,23,1,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.083,0.083,0,0.167,0,0,0.083,-0.067,0,0,-0.417
529,529,Michael Carter-Williams,ORL,31,1,1,0,0.4,0.25,0,0,0,0,0,0,0.25,0.5,50,0,0,0,0,0,0,0,0,0.25,0,0,0
530,529,Michael Foster Jr.,PHI,20,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
