, ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_PER_POSS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
450,451,Danuel House Jr.,PHI,29,51,35,16,0.5,0.15,0.052,0.109,47.9,0.023,0.065,35.1,0.022,0.032,70.2,0.006,0.05,0.056,0.025,0.015,0.009,0.006,0.041,0.283,0,0,-0.009
451,452,Haywood Highsmith,MIA,26,51,26,25,0.5,0.12,0.047,0.109,42.9,0.02,0.057,35,0.007,0.014,46.2,0.028,0.066,0.094,0.019,0.02,0.019,0.008,0.041,0.323,2,0,-0.057
452,453,Larry Nance Jr.,NOP,30,61,32,29,0.5,0.155,0.065,0.108,60.4,0.005,0.016,33.3,0.019,0.028,69.3,0.038,0.087,0.125,0.041,0.014,0.02,0.013,0.046,0.451,3,0,0.081
453,454,Jake LaRavia,MEM,21,35,22,13,0.5,0.119,0.042,0.108,38.9,0.027,0.081,33.8,0.008,0.01,77.8,0.022,0.05,0.072,0.024,0.02,0.014,0.005,0.056,0.275,0,0,-0.089
454,455,Orlando Robinson,MIA,22,29,17,12,0.5,0.141,0.058,0.108,53.5,0,0.006,0,0.026,0.036,72.4,0.055,0.093,0.148,0.026,0.019,0.015,0.015,0.065,0.429,0,0,0.001
455,456,Javonte Green,CHI,29,31,12,19,0.5,0.166,0.062,0.107,57.5,0.013,0.034,38.2,0.029,0.043,67.4,0.027,0.059,0.086,0.023,0.02,0.023,0.021,0.053,0.417,0,0,0.056
456,457,Chuma Okeke,ORL,24,24,8,16,0.5,0.119,0.039,0.107,36.5,0.023,0.075,31.3,0.018,0.023,76.2,0.025,0.066,0.09,0.029,0.012,0.013,0.01,0.039,0.329,0,0,-0.088
457,458,Matthew Dellavedova,SAC,32,32,19,13,0.5,0.1,0.036,0.107,34,0.019,0.058,33.3,0.009,0.015,57.1,0.002,0.026,0.028,0.087,0.021,0.015,0,0.043,0.288,0,0,-0.109
458,459,Nicolas Batum,LAC,34,75,41,34,0.5,0.135,0.045,0.107,42.5,0.035,0.088,39.6,0.009,0.013,69.6,0.017,0.066,0.084,0.034,0.015,0.015,0.012,0.042,0.351,0,0,0.043
459,460,Isaac Okoro,CLE,22,76,48,28,0.5,0.146,0.052,0.105,49.4,0.018,0.051,36.3,0.023,0.031,75.7,0.015,0.04,0.056,0.026,0.013,0.017,0.009,0.047,0.316,0,0,0.038
460,461,Raul Neto,CLE,30,46,30,16,0.5,0.148,0.054,0.103,52.6,0.013,0.041,31.6,0.026,0.029,88.9,0.009,0.038,0.047,0.071,0.017,0.017,0.003,0.045,0.355,0,0,0.022
461,462,Frank Ntilikina,DAL,24,45,20,25,0.5,0.105,0.037,0.103,36,0.014,0.054,25,0.017,0.024,70.4,0.005,0.046,0.052,0.047,0.023,0.011,0.005,0.053,0.261,0,0,0.052
462,463,Kevon Harris,ORL,25,31,12,19,0.5,0.126,0.042,0.103,41,0.014,0.037,36.7,0.027,0.034,81.5,0.031,0.042,0.073,0.016,0.02,0.02,0.005,0.055,0.293,0,0,0.017
463,464,Josh Hart,NYK,28,73,41,32,0.5,0.148,0.055,0.102,53.6,0.012,0.032,38,0.026,0.034,74.9,0.028,0.088,0.116,0.057,0.023,0.017,0.004,0.039,0.413,9,0,0.063
464,465,Caleb Houstan,ORL,20,48,20,28,0.5,0.106,0.037,0.102,36.1,0.025,0.076,33,0.007,0.009,84.6,0.02,0.042,0.063,0.017,0.011,0.005,0.004,0.04,0.224,0,0,-0.029
465,466,Ben Simmons,BKN,26,42,24,18,0.5,0.127,0.058,0.102,56.6,0,0.001,0,0.011,0.025,43.9,0.017,0.097,0.114,0.111,0.042,0.023,0.01,0.06,0.49,4,1,0.017
466,467,Jamaree Bouyea,WAS,23,5,2,3,0.5,0.109,0.043,0.101,42.9,0.014,0.043,33.3,0.007,0.014,50,0.007,0.036,0.043,0.029,0.029,0.029,0.014,0.043,0.306,0,0,-0.123
467,468,Kai Jones,CHA,22,43,12,31,0.5,0.137,0.058,0.101,57.5,0.003,0.013,21.4,0.017,0.024,72,0.034,0.077,0.112,0.011,0.027,0.013,0.025,0.057,0.376,1,0,-0.024
468,469,Robert Williams III,BOS,25,33,22,11,0.5,0.166,0.075,0.101,74.5,0,0.001,0,0.015,0.024,63.2,0.062,0.11,0.173,0.029,0.019,0.012,0.028,0.04,0.516,6,0,0.095
469,470,John Konchar,MEM,27,68,43,25,0.5,0.114,0.042,0.1,42.3,0.02,0.057,34.7,0.009,0.012,80,0.018,0.076,0.095,0.03,0.012,0.023,0.007,0.035,0.351,2,0,0.072
470,471,Cole Swider,LAL,23,6,1,5,0.5,0.1,0.033,0.1,33.3,0.033,0.089,37.5,0,0,0,0.011,0.067,0.078,0.044,0,0,0,0.033,0.26,0,0,0.033
471,471,Xavier Sneed,CHA,25,2,0,2,0.5,0.26,0.08,0.1,80,0.06,0.08,75,0.04,0.04,100,0,0.06,0.06,0.06,0.06,0,0,0.04,0.362,0,0,-0.04
472,473,Jordan McLaughlin,MIN,26,41,20,21,0.5,0.106,0.041,0.1,41.5,0.015,0.053,28.9,0.008,0.01,78.6,0.011,0.03,0.041,0.094,0.023,0.022,0.002,0.018,0.345,0,0,0.051
473,474,Matisse Thybulle,POR,26,71,38,33,0.5,0.115,0.043,0.1,43.5,0.021,0.058,36.5,0.007,0.011,67.9,0.016,0.039,0.055,0.021,0.009,0.033,0.013,0.044,0.339,0,0,-0.006
474,475,Trent Forrest,ATL,24,20,7,13,0.5,0.097,0.047,0.099,47.1,0,0.004,0,0.004,0.006,66.7,0.01,0.05,0.06,0.06,0.021,0.012,0.004,0.031,0.284,0,0,-0.103
475,476,Otto Porter Jr.,TOR,29,8,4,4,0.5,0.145,0.049,0.099,50,0.02,0.056,35.3,0.026,0.026,100,0.02,0.043,0.063,0.026,0.013,0.036,0,0.023,0.355,0,0,-0.069
476,477,Reggie Bullock,DAL,32,76,36,40,0.5,0.118,0.04,0.099,40.9,0.032,0.083,37.9,0.006,0.008,70.3,0.007,0.053,0.06,0.022,0.008,0.012,0.003,0.035,0.257,1,0,-0.014
477,478,Alex Len,SAC,29,22,14,8,0.4,0.13,0.053,0.098,54.2,0,0.008,0,0.024,0.041,60,0.041,0.106,0.146,0.033,0.049,0.012,0.024,0.081,0.415,0,0,0.077
478,479,Anthony Gill,WAS,30,55,20,35,0.5,0.15,0.054,0.097,55.9,0.003,0.02,13,0.039,0.049,78.6,0.029,0.047,0.076,0.025,0.011,0.005,0.011,0.054,0.315,0,0,-0.004
479,480,Dean Wade,CLE,26,40,27,13,0.5,0.114,0.04,0.097,41,0.024,0.07,34.8,0.009,0.014,65.2,0.01,0.073,0.083,0.02,0.009,0.015,0.012,0.05,0.315,0,0,0.059
480,481,Ryan Arcidiacono,POR,29,20,9,11,0.5,0.068,0.024,0.097,24.3,0.021,0.061,34.8,0,0,0,0,0.039,0.039,0.061,0.018,0.013,0,0.045,0.228,0,0,-0.105
481,482,Drew Eubanks,POR,26,76,31,45,0.5,0.153,0.063,0.097,64.8,0.001,0.004,33.3,0.025,0.038,66.4,0.04,0.086,0.126,0.031,0.021,0.013,0.029,0.051,0.455,3,0,-0.038
482,483,Luke Kornet,BOS,27,65,42,23,0.5,0.156,0.067,0.097,69.3,0.002,0.007,27.3,0.019,0.024,81.1,0.052,0.064,0.116,0.029,0.015,0.006,0.029,0.048,0.427,0,0,0.048
483,484,Khem Birch,SAS,30,20,9,11,0.5,0.131,0.058,0.097,59.4,0.003,0.006,50,0.012,0.015,80,0.024,0.052,0.076,0.021,0.024,0.015,0.015,0.073,0.321,0,0,0.018
484,485,Austin Rivers,MIN,30,52,25,27,0.5,0.118,0.042,0.097,43.5,0.02,0.057,35,0.014,0.018,76.9,0.002,0.036,0.039,0.035,0.011,0.013,0.002,0.037,0.251,0,0,-0.066
485,486,Jae Crowder,MIL,32,13,10,3,0.5,0.134,0.045,0.096,46.9,0.026,0.067,38.2,0.018,0.022,81.8,0.024,0.075,0.098,0.035,0.01,0.01,0.008,0.037,0.348,0,0,0.029
486,487,Max Christie,LAL,20,39,17,22,0.5,0.116,0.04,0.096,41.5,0.024,0.056,41.9,0.013,0.015,87.5,0.006,0.062,0.068,0.019,0.012,0.008,0.006,0.03,0.258,0,0,-0.068
487,488,Isaiah Hartenstein,NYK,24,79,46,33,0.5,0.119,0.051,0.096,53.4,0.002,0.011,21.6,0.015,0.022,67.6,0.063,0.097,0.16,0.028,0.02,0.016,0.019,0.062,0.439,2,0,0.062
488,489,Jared Rhoden,DET,23,10,1,9,0.5,0.118,0.041,0.095,42.9,0.009,0.045,20,0.027,0.027,100,0.036,0.059,0.095,0.014,0.009,0.009,0,0.055,0.271,0,0,0.068
489,490,Alize Johnson,SAS,26,4,1,3,0.5,0.111,0.048,0.095,50,0,0.032,0,0.016,0.032,50,0.032,0.127,0.159,0.016,0.063,0.016,0,0.048,0.31,0,0,0.19
490,491,Patrick Beverley,CHI,34,64,33,31,0.5,0.109,0.038,0.095,39.7,0.021,0.063,33.2,0.013,0.018,72.3,0.012,0.054,0.066,0.051,0.016,0.015,0.011,0.05,0.326,2,0,-0.014
491,492,Draymond Green,GSW,33,69,38,31,0.5,0.124,0.05,0.095,52.9,0.008,0.026,30.9,0.016,0.022,70.9,0.013,0.094,0.106,0.102,0.04,0.014,0.012,0.046,0.442,11,0,0.061
492,493,Dominick Barlow,SAS,19,24,3,21,0.5,0.117,0.05,0.095,52.4,0,0.006,0,0.018,0.026,70.6,0.05,0.057,0.107,0.026,0.02,0.011,0.023,0.069,0.363,1,0,-0.195
493,494,Udoka Azubuike,UTA,23,32,16,16,0.5,0.161,0.076,0.094,81.1,0,0,0,0.009,0.028,31.3,0.044,0.115,0.16,0.016,0.028,0.011,0.021,0.044,0.444,0,0,-0.098
494,495,DeAndre Jordan,DEN,34,36,22,14,0.5,0.16,0.071,0.094,75.5,0.001,0.001,100,0.017,0.04,43.2,0.039,0.126,0.165,0.028,0.039,0.01,0.021,0.062,0.455,1,0,-0.103
495,496,Kevon Looney,GSW,27,78,41,37,0.5,0.141,0.059,0.093,63.6,0,0,0,0.023,0.038,59.6,0.065,0.116,0.18,0.049,0.011,0.012,0.012,0.055,0.494,14,0,0.024
496,497,Dyson Daniels,NOP,20,56,31,25,0.5,0.099,0.038,0.093,41.3,0.012,0.038,31.3,0.011,0.017,62.2,0.016,0.066,0.082,0.059,0.025,0.019,0.005,0.045,0.335,0,0,0.004
497,498,Olivier Sarr,OKC,24,6,3,3,0.5,0.099,0.035,0.092,38.5,0.007,0.043,16.7,0.021,0.021,100,0.057,0.043,0.099,0.021,0.021,0,0.035,0.078,0.335,0,0,0
498,499,Dwight Powell,DAL,31,74,36,38,0.5,0.173,0.067,0.092,73.1,0,0.002,0,0.038,0.058,66.7,0.049,0.056,0.105,0.023,0.022,0.016,0.009,0.07,0.388,1,0,0.054
499,500,Christian Koloko,TOR,22,54,27,27,0.5,0.109,0.043,0.092,46.9,0.001,0.007,9.1,0.023,0.035,65.5,0.051,0.051,0.103,0.016,0.011,0.012,0.035,0.079,0.388,0,0,0.09
500,501,John Butler Jr.,POR,20,15,4,11,0.5,0.052,0.02,0.091,21.7,0.008,0.063,12.5,0.004,0.004,100,0.008,0.024,0.032,0.016,0,0.016,0.02,0.052,0.221,0,0,-0.036
501,502,George Hill,IND,36,44,26,18,0.5,0.122,0.041,0.091,45.5,0.017,0.051,32.2,0.022,0.03,76,0.008,0.04,0.048,0.06,0.019,0.015,0.004,0.03,0.306,0,0,0.017
502,503,Devon Dotson,WAS,23,6,1,5,0.5,0.027,0.009,0.091,10,0.009,0.036,25,0,0,0,0.055,0.036,0.091,0.073,0.027,0.045,0,0.082,0.355,0,0,-0.027
503,503,Kobi Simmons,CHA,25,2,0,2,0.5,0,0,0.091,0,0,0.091,0,0,0,0,0,0,0,0.091,0,0,0.091,0,0.409,0,0,-0.091
504,503,Marko Simonovic,CHI,23,4,2,2,0.4,0,0,0.091,0,0,0.045,0,0,0,0,0.045,0,0.045,0,0,0,0,0.091,0.055,0,0,-0.136
